beta,se,z,p
"[-0.044918409318171273, 0.23530297066195488]","[0.0760082842678688, 0.07995045303506414]","[-0.5909672840380079, 2.943109910318548]","[0.5545423418650521, 0.003249330352255463]"
"[0.019927304686082517, 0.16513608905524996]","[0.06003472143458171, 0.07548262721622619]","[0.33192966020166825, 2.187736372532504]","[0.7399423733007751, 0.028688810994286607]"
"[0.02334435493672889, 0.21833232974396125]","[0.07940222967214486, 0.08087574325978168]","[0.29400125201922805, 2.699602142049614]","[0.7687569466587366, 0.006942244164747421]"
"[-0.08620007736916772, 0.4299863532515705]","[0.07183929395211693, 0.08172203200613584]","[-1.1999015110953442, 5.261571973874638]","[0.2301775930474939, 1.4282895700469716e-7]"
"[-0.011312845342754967, 0.27112980379333607]","[0.0733235415093683, 0.07968130037009982]","[-0.15428667396418055, 3.4026779499582154]","[0.8773837041423869, 0.000667288850638361]"
"[0.08935561386515857, 0.1580204726104698]","[0.07350204181120136, 0.08709327116885594]","[1.2156888660954341, 1.8143821042626889]","[0.22410346707571516, 0.06961891896003855]"
"[-0.024952844240074473, 0.21986589035348236]","[0.06354436753782204, 0.07289417022679813]","[-0.392683808289104, 3.016234215567666]","[0.6945530311026015, 0.0025593548305213134]"
"[-0.0003222739492605573, 0.28297231113191595]","[0.0721628861328592, 0.08261308660761499]","[-0.0044659237806428395, 3.425272226856036]","[0.9964367202103309, 0.0006141836829412462]"
"[-0.10268506262039902, 0.3371290178701954]","[0.07650986461075053, 0.08478930960037508]","[-1.3421153356213176, 3.9760792894662758]","[0.17955860220694714, 7.006077440106014e-5]"
"[-0.06847285285513083, 0.3005234515040079]","[0.07686730678240299, 0.07349304023778401]","[-0.8907929225225063, 4.089141645680671]","[0.37304027275715934, 4.329724096497056e-5]"
"[-0.041837127496722096, 0.31625900363309695]","[0.06937254098732679, 0.0845849172193631]","[-0.6030790699214124, 3.738952688372428]","[0.5464560893835019, 0.00018478849685051076]"
"[-0.010346976363585243, 0.28565082646704615]","[0.07289076883237927, 0.08765411743038773]","[-0.14195180719494546, 3.258840940288988]","[0.8871180723834435, 0.0011186836888194352]"
"[0.10348156223267373, 0.14560451828498142]","[0.0762058029799078, 0.08577516149704711]","[1.3579223390633044, 1.697513776059681]","[0.17448832811478876, 0.08959956885205425]"
"[-0.13852073569629023, 0.2824697872051594]","[0.07230225960912683, 0.08304773765191402]","[-1.9158562463351358, 3.4012941856297427]","[0.05538339602812385, 0.0006706760984171802]"
"[-0.010626435343884159, 0.3011458980026765]","[0.07269589025468064, 0.07532952027650046]","[-0.14617656248043484, 3.9977142678900206]","[0.8837820072358482, 6.395708858392352e-5]"
"[-0.031643141210493185, 0.38915733912964856]","[0.08126736017413481, 0.08367299595120122]","[-0.38937085125799786, 4.65093110035893]","[0.6970018313926529, 3.304397215854098e-6]"
"[0.06694402550762064, -0.016124787919292085]","[0.0562987850881361, 0.06453344619831526]","[1.189084727189394, -0.2498671443911366]","[0.2344063277154668, 0.8026900923962733]"
"[0.0007346724523077378, 0.42579850911648354]","[0.0796594912600482, 0.07767778167921958]","[0.009222660610640877, 5.4815997562195244]","[0.9926414858054914, 4.2149694575311235e-8]"
"[0.022744593169074057, 0.20268827782300405]","[0.07793959858254201, 0.08144112319727351]","[0.2918233296388661, 2.4887706586761524]","[0.7704217067895147, 0.01281856252748556]"
"[-0.03912143211126269, 0.2507891704089061]","[0.06790475661138798, 0.06679270513965783]","[-0.5761221166751347, 3.754738932710202]","[0.5645326432940223, 0.0001735222472437091]"
"[0.018100177754422766, 0.16503179220274977]","[0.07502435615109276, 0.06939464373691304]","[0.2412573553843038, 2.378163260386688]","[0.8093556602421522, 0.017399120537979984]"
"[0.024439901842567897, 0.2971335882524923]","[0.07288652783382472, 0.07171445359204812]","[0.3353143930561332, 4.143287348220683]","[0.7373879374999783, 3.4236253019922934e-5]"
"[-0.10935142400082258, 0.39879461602556654]","[0.07925222336955565, 0.07915164561556894]","[-1.3797899838205598, 5.038361652800869]","[0.1676513174629215, 4.6953362169134025e-7]"
"[0.023266449949657594, 0.2598607756805423]","[0.0611389690374057, 0.07083554717029422]","[0.3805502499628812, 3.66850805931966]","[0.7035370030555523, 0.0002439700048546624]"
"[-0.03286591774877166, 0.3448511935162107]","[0.07035196093923164, 0.07123364675508433]","[-0.4671642028167553, 4.841127883033685]","[0.6403824027652358, 1.2910425138105431e-6]"
"[0.020533819686237374, 0.1601239718876104]","[0.07281800317129515, 0.0794552785229112]","[0.28198822807505664, 2.0152716706095]","[0.7779525368107955, 0.04387619154597232]"
"[0.15517252167811973, 0.1569293455503115]","[0.06924882919810368, 0.07242938086418012]","[2.240796320674386, 2.166653141003456]","[0.025039271396667694, 0.03026131211466687]"
"[-0.06289303603249558, 0.29825939548692626]","[0.08158941939590823, 0.079537953364944]","[-0.7708479420267783, 3.749900303801163]","[0.4407970665995028, 0.0001769048884437668]"
"[-0.027126530133711937, 0.2849272121721223]","[0.07454926349823844, 0.08265133344417268]","[-0.3638738850096476, 3.4473395685089345]","[0.7159521865428108, 0.0005661365308499878]"
"[0.11727410870909363, 0.1687760345993872]","[0.07190499552257894, 0.07545764047165462]","[1.6309591267865153, 2.2366990744003887]","[0.1028989442637421, 0.02530601454752237]"
"[0.006179717380131975, 0.35239342177313804]","[0.06541403009899525, 0.07214859045794036]","[0.0944708248487337, 4.88427313044416]","[0.9247351571719389, 1.0381109220446576e-6]"
"[-0.04409229432661098, 0.232169848425217]","[0.060469457092354274, 0.07410294774958794]","[-0.7291663667373324, 3.133071699249751]","[0.4658999019718383, 0.001729871795806096]"
"[-0.018003999597565674, 0.22782108660706915]","[0.07888472358872922, 0.06945958879319926]","[-0.22823176374973092, 3.2799083692441173]","[0.8194660690984885, 0.0010384080680848615]"
"[0.10462902473910178, 0.04150603007271146]","[0.06274941659120935, 0.06291387668209397]","[1.6674103190587974, 0.6597277462719853]","[0.09543284338482723, 0.509428557771821]"
"[0.018687263168816557, 0.28138979342180764]","[0.08512515548054872, 0.08735168696226717]","[0.21952691966696775, 3.221343550507022]","[0.82623961238343, 0.0012759110198190603]"
"[-0.029114346270819103, 0.2775914225336174]","[0.0769180800066268, 0.08201356301238559]","[-0.3785110895684186, 3.3847014120298113]","[0.7050509572292651, 0.0007125572030054492]"
"[-0.024651912248456614, 0.34284565295762465]","[0.07131128841812424, 0.08176481141213737]","[-0.3456943885786134, 4.193070919340881]","[0.7295724018341312, 2.7520335970993072e-5]"
"[-0.13780147411962984, 0.29492832978772676]","[0.057122309018014406, 0.07995659149794916]","[-2.4123932748617007, 3.6886055828842017]","[0.015848176522197676, 0.00022548645246563685]"
"[-0.060192609820961175, 0.23174576739490282]","[0.06968576777749842, 0.0872299676505829]","[-0.8637719256125841, 2.6567219229428916]","[0.3877131930770862, 0.007890449827939966]"
"[0.043779156895761485, 0.24437627381489785]","[0.06745885375316388, 0.08647525147714387]","[0.6489757008909777, 2.825967772750433]","[0.516354082403668, 0.004713800630747103]"
"[-0.031008386784529673, 0.33271554870941705]","[0.0648751787273629, 0.07292596929439456]","[-0.47796996313246426, 4.562374033950498]","[0.6326715838299718, 5.057843905835046e-6]"
"[0.025979927619489047, 0.21322519583754357]","[0.054268444488052396, 0.06252659373060411]","[0.47872991136144916, 3.4101521147341645]","[0.6321307837845227, 0.0006492665611158172]"
"[0.12497368524000296, 0.1657021826830254]","[0.05947006259511886, 0.06605561274070901]","[2.1014554178434723, 2.5085254046989682]","[0.03560100760323931, 0.012123624998855139]"
"[0.004769793717806552, 0.1488270101519088]","[0.06628820337931338, 0.08157850803501458]","[0.07195539288510971, 1.8243409169487417]","[0.942637407104738, 0.0681005481924109]"
"[-0.0994285119510741, 0.295676381259446]","[0.07596758325863007, 0.07847140095292544]","[-1.3088281565121243, 3.7679508415660963]","[0.19059256699647836, 0.0001645931037468317]"
"[0.007687662885566657, 0.29578548289544276]","[0.0765550053095893, 0.08194793157321012]","[0.10042012085921309, 3.609431955353209]","[0.9200107963713029, 0.00030686825363159225]"
"[-0.05481927967817884, 0.27641675364572116]","[0.06785714577003442, 0.07342727832077925]","[-0.8078630342625894, 3.764496791480527]","[0.4191694333618143, 0.0001668848109482834]"
"[-0.13548902423794734, 0.33752909020517896]","[0.06490285237534435, 0.08088583291222241]","[-2.0875665595464286, 4.172907393702266]","[0.03683695115296657, 3.0073719988595787e-5]"
"[0.04431467312497494, 0.14374332435004028]","[0.06759889719774641, 0.0764238030406094]","[0.6555531963094258, 1.8808711243231278]","[0.5121116482660714, 0.059989452065729754]"
"[0.031165360615886244, 0.2867152695824325]","[0.08164456157148449, 0.08283796559481435]","[0.38171998251958505, 3.461157785849594]","[0.7026690765605841, 0.0005378574665333014]"
"[-0.07923179648232241, 0.299832489473701]","[0.07566285004111033, 0.08846601679652032]","[-1.0471690722629792, 3.38923917150404]","[0.29502160681005357, 0.0007008685047452358]"
"[0.03319740952077705, 0.13072686654795926]","[0.05967642076071666, 0.06505763211035105]","[0.5562902248090252, 2.0094009312576846]","[0.5780124685442273, 0.04449463155436034]"
"[-0.017229313092949672, 0.250543439701324]","[0.08353883858681907, 0.08680360353256777]","[-0.20624314850922704, 2.8863253310367787]","[0.836600984644946, 0.003897690290469474]"
"[0.08820628860439594, 0.24636554047756593]","[0.06578982494527766, 0.08614857559678202]","[1.3407284284122012, 2.8597749733051723]","[0.18000864104971664, 0.004239417100592896]"
"[-0.030783744241777912, 0.24962842502393295]","[0.08038877343588391, 0.0820223208390428]","[-0.38293586188785755, 3.043420650261694]","[0.701767320420718, 0.0023390511858603223]"
"[0.11271491568497291, 0.31023485742005286]","[0.06951361648380018, 0.08622721983180273]","[1.621479666667042, 3.597876146595075]","[0.10491480729492031, 0.00032082632021728256]"
"[0.01228796918911722, 0.15912834386377073]","[0.06494127121025424, 0.07098200428020268]","[0.1892166408220378, 2.2418124914535924]","[0.8499230257590475, 0.024973493569794756]"
"[0.024129743745197968, 0.1978832232329484]","[0.06669635859344179, 0.0730186562287917]","[0.36178502476101637, 2.710036495507594]","[0.7175126837054072, 0.006727580514716034]"
"[0.08788690164281403, 0.16960971793813023]","[0.06819377919133224, 0.0707199248939036]","[1.2887818021674458, 2.398330006608243]","[0.19747395426952719, 0.016470019343453282]"
"[0.04612825233363887, 0.261493165525192]","[0.07399182080453946, 0.08197875168642527]","[0.6234236680766864, 3.189767593990971]","[0.5330061486960215, 0.0014238724915063804]"
"[-0.014267344462011543, 0.2744875230596872]","[0.06815663279122579, 0.07933747225094244]","[-0.20933170958892006, 3.4597462620373136]","[0.8341892994077769, 0.000540684620587704]"
"[0.02496559950917583, 0.32397404559061976]","[0.07165672606453968, 0.08147248379678808]","[0.3484055284173861, 3.9764842127397118]","[0.7275356512391944, 6.994163987254656e-5]"
"[-0.11801877962116795, 0.22682445533620244]","[0.07907459705794236, 0.0740288135559443]","[-1.4924992856389647, 3.0640023045187528]","[0.13556830438089618, 0.0021839722773367115]"
"[-0.05388213661137004, 0.1167615488353275]","[0.07288884576362642, 0.07463534459539821]","[-0.7392370677141212, 1.5644270079852578]","[0.4597630559472241, 0.11771732219235514]"
"[0.02685580778879486, 0.16054878525064278]","[0.06485441893393826, 0.07286706850123886]","[0.4140937229913449, 2.2033106114034653]","[0.6788054696252422, 0.027572863572537066]"
"[-0.08229993813384966, 0.3479734661079315]","[0.06391804123241368, 0.07252704178760377]","[-1.287585422628913, 4.7978444664401945]","[0.1978903164056628, 1.6038223686862022e-6]"
"[0.09624404350031415, 0.2377901914561586]","[0.06015841575889391, 0.06799446880085881]","[1.5998433849396256, 3.4971990464782508]","[0.10963333149889232, 0.00047017088019045476]"
"[-0.032859272247739914, 0.220830011429595]","[0.06602516784456812, 0.07882296414558024]","[-0.4976779812979035, 2.8015948629099783]","[0.6187110300228518, 0.005085068841617947]"
"[0.05583623577128548, 0.24994455065233742]","[0.06775441798364568, 0.06775559303679057]","[0.8240973420325599, 3.6889139250337633]","[0.40988425030063047, 0.00022521339022505655]"
"[-0.017541044409695398, 0.271155184122697]","[0.07168207064593837, 0.06782924031382581]","[-0.24470616224713235, 3.9976149352129298]","[0.8066839563043122, 6.398392547277045e-5]"
"[-0.01124930158465214, 0.2886046821067809]","[0.0856135706162128, 0.09794532698668108]","[-0.13139624365254354, 2.9465896024424554]","[0.8954618600329233, 0.0032129931681349677]"
"[-0.005553581557483005, 0.2601935356356505]","[0.06179861242593964, 0.07117762876324664]","[-0.08986579697300645, 3.6555521749834456]","[0.9283938612056118, 0.0002566290058931475]"
"[0.012960067132485298, 0.2142200948944295]","[0.07425269773820546, 0.0816711137060867]","[0.17454001709377512, 2.622960373301048]","[0.8614410842966486, 0.00871694104985758]"
"[-0.01136721102714477, 0.3122490142575339]","[0.06582597664248291, 0.07705542667864297]","[-0.17268579376927276, 4.052265073552285]","[0.8628984109578839, 5.072414802052401e-5]"
"[-0.17252445168535976, 0.3751462616655426]","[0.07025049767959456, 0.06590575031593073]","[-2.45584668271286, 5.692162821411083]","[0.014055310819254095, 1.2544014519295764e-8]"
"[-0.065012662424216, 0.34712096889581723]","[0.07902625053531098, 0.0792008875928118]","[-0.8226717322893441, 4.382791398506014]","[0.4106946944769752, 1.1716829103126755e-5]"
"[0.0660766181173107, 0.10134408250056463]","[0.08304306952594971, 0.08077464452451415]","[0.7956909407914258, 1.2546521634002104]","[0.42621169366799244, 0.20960505834945606]"
"[0.06332099047010349, 0.18536981567693936]","[0.06565586580183126, 0.07656677653849914]","[0.9644376735694095, 2.421021545601206]","[0.33482654200325995, 0.015476959931356706]"
"[0.07394108725362804, 0.10868020614697108]","[0.05930194874729071, 0.07891442491762825]","[1.2468576297335614, 1.3771906246597208]","[0.21244970496234142, 0.16845331966883895]"
"[-0.08829636688480505, 0.3383368281455431]","[0.06778583801825244, 0.07742347497237738]","[-1.302578377227258, 4.36995146841772]","[0.19271874378653542, 1.2427415321502987e-5]"
"[0.05386556654148324, 0.1852927698169802]","[0.06798203059241818, 0.07257083320099149]","[0.7923500676881913, 2.553267774999842]","[0.4281565855267339, 0.010671741622644277]"
"[-0.029336031636987458, 0.18477963149649626]","[0.0729599407276711, 0.07938915933924497]","[-0.40208409360537417, 2.3275171702838895]","[0.6876221386478089, 0.01993775621054032]"
"[-0.048429499556355275, 0.1584500451732532]","[0.06970177848671612, 0.06777771258887541]","[-0.6948100982184414, 2.3377898002308823]","[0.4871743188920045, 0.019398154990811295]"
"[0.07897521701421158, 0.18393971008094329]","[0.0671881573352355, 0.07101667681868573]","[1.1754335904788176, 2.5900917688751317]","[0.23982129137819994, 0.009595034970945234]"
"[-0.12961969946170157, 0.37630853704989276]","[0.0713216601684554, 0.07386876578584917]","[-1.8173959938054078, 5.094284885452644]","[0.06915650073613357, 3.50060047939221e-7]"
"[-0.11969032573954531, 0.3314928250704463]","[0.07812373842344117, 0.0817291615777933]","[-1.532060909461445, 4.055991994423158]","[0.12550740490107837, 4.992196928705462e-5]"
"[0.04822452207108667, 0.128203894218925]","[0.07340904306730406, 0.07803651074095391]","[0.6569289021636298, 1.6428706640216684]","[0.5112266331970541, 0.10040969582082317]"
"[-0.0502417896469224, 0.315937791100962]","[0.06993953968144241, 0.08036694214904982]","[-0.7183603134330241, 3.931190893327989]","[0.4725351504229528, 8.452612240616002e-5]"
"[0.008847034845697845, 0.3072090667524854]","[0.07106688830355816, 0.07657103665188639]","[0.12448884504283121, 4.012079242823168]","[0.9009282320422877, 6.018628863928622e-5]"
"[-0.008455307404423462, 0.14393930715279646]","[0.07506451518230381, 0.06946993717788837]","[-0.1126405383940556, 2.0719654141073702]","[0.9103155445636834, 0.038268666728813995]"
"[0.04471759852354425, 0.17940094189771016]","[0.06464953645135509, 0.0738338775110793]","[0.6916924850217846, 2.4297916883857247]","[0.48913046735161453, 0.015107503052441266]"
"[-0.02818799486151689, 0.28584673171455305]","[0.07211984274447254, 0.06807182818258611]","[-0.39084936667693015, 4.19919281362385]","[0.6959085822680328, 2.678681558466395e-5]"
"[0.08944720388811261, 0.10627330007000887]","[0.0589933305515744, 0.0739587074277928]","[1.5162256996138603, 1.436927493274073]","[0.12946229176776908, 0.15073859693561786]"
"[-0.02479843468227918, 0.28610561686612357]","[0.06964170424654226, 0.06928739255946555]","[-0.3560859825384074, 4.129259397668557]","[0.7217761744575549, 3.639336245644106e-5]"
"[0.030055803688898017, 0.284970253830937]","[0.08064503380030914, 0.09081013633548472]","[0.372692554923113, 3.1380886025559547]","[0.7093772782071908, 0.001700534646152004]"
"[-0.019093139515040387, 0.23692772508124185]","[0.0660907516150425, 0.0806142115460094]","[-0.28889275804051706, 2.9390317232839123]","[0.7726634458067209, 0.003292393732440136]"
"[-0.04383673210450061, 0.21509339852017437]","[0.07191618930321347, 0.08641102986523572]","[-0.6095530440256771, 2.4891891562411437]","[0.5421579246816591, 0.01280348252892854]"
"[-0.049201468904525265, 0.2988385583895631]","[0.06485567435748908, 0.07415567478608248]","[-0.7586301336306099, 4.02988118241288]","[0.44807384152327184, 5.5805053467940347e-5]"
"[0.06387615727061847, 0.2055569406288772]","[0.07234081559105295, 0.09280125538651385]","[0.8829891776685833, 2.2150232749841585]","[0.3772421188153704, 0.026758467006449654]"
"[0.0023740802860930388, 0.24172436720154436]","[0.056420862704692494, 0.07114694683595475]","[0.04207805716334054, 3.3975367595027532]","[0.9664364725223212, 0.0006799545208952324]"
"[0.019633921487333672, 0.3666181568707307]","[0.07266278817019586, 0.07693848423357316]","[0.27020600202328776, 4.765081617123305]","[0.7870017754393822, 1.887772202342743e-6]"
"[-0.03380349008707612, 0.26580465356207983]","[0.05648092035423658, 0.06444270481828637]","[-0.5984939670789298, 4.124666311129986]","[0.5495103831802866, 3.712726360408312e-5]"
"[0.049361636724912956, 0.46702473415470674]","[0.06528676916559299, 0.0648074342719304]","[0.7560741227631035, 7.206345065214006]","[0.4496047559118838, 5.747364932122698e-13]"
"[0.11138348684042608, 0.23394923762496941]","[0.072563907211263, 0.07667005328983388]","[1.5349709121387787, 3.0513770055770926]","[0.12479097322836244, 0.00227794353999458]"
"[0.026313993104031135, 0.2401915380743547]","[0.051182879143519544, 0.06632675937185896]","[0.5141170943167399, 3.6213368533162935]","[0.6071701265886755, 0.00029308460619992927]"
"[-0.049691246579952345, 0.24283340429657307]","[0.06249951570357553, 0.06854105988292832]","[-0.7950661060419955, 3.542889542579953]","[0.4265750494091222, 0.0003957684332546502]"
"[0.032708449419129385, 0.24620499013603547]","[0.06276416486138221, 0.08149207041943149]","[0.5211325521715715, 3.0212140748031455]","[0.602274435754047, 0.002517632929244767]"
"[0.07118006465078945, 0.09099152467886505]","[0.07167101314210968, 0.08328753025564907]","[0.9931499713789901, 1.092498773820868]","[0.3206368745170048, 0.2746139291344163]"
"[-0.07429657381338146, 0.3300375267546323]","[0.07775254428760692, 0.08352591632920948]","[-0.9555516735061196, 3.9513188392189638]","[0.3392987869796443, 7.772169509919215e-5]"
"[-0.12937807004294374, 0.2989051575252382]","[0.06677608347225551, 0.07377839636066452]","[-1.9374911392744147, 4.051391359389883]","[0.052685335466557556, 5.0913965266442005e-5]"
"[0.002317146103451937, 0.26377432139679696]","[0.07682661153063634, 0.07751256137011425]","[0.030160722401871426, 3.402988067150853]","[0.9759388732524024, 0.0006665319151773951]"
"[-0.006349212424623785, 0.20414883472948475]","[0.07557293340106436, 0.07655172275235486]","[-0.08401437047479175, 2.666809150590994]","[0.933045006177459, 0.007657514262445257]"
"[0.021198188504438085, 0.2559836086857676]","[0.08304474586320261, 0.07045758431480843]","[0.2552622478893161, 3.6331590300061736]","[0.7985205560917499, 0.0002799723411751786]"
"[-0.011804270046722276, 0.28552314147706026]","[0.0745731739757724, 0.09318233479468754]","[-0.15829110412488664, 3.064133798602118]","[0.8742274176512015, 0.0021830125307501615]"
"[-0.07959980892466484, 0.29992923995603665]","[0.0768146520148821, 0.07123006504120591]","[-1.0362581465479155, 4.210711302629451]","[0.30008172628249674, 2.5456789278788694e-5]"
"[-0.06270214265273319, 0.3485513883750006]","[0.06969260902783256, 0.07402824681865225]","[-0.8996957285340309, 4.708356652412024]","[0.3682821971621874, 2.497218868185255e-6]"
"[-0.02286529820594347, 0.20751067620055536]","[0.06497851872834864, 0.06365277357653412]","[-0.3518901115849516, 3.2600413861157356]","[0.7249206753298096, 0.0011139595789012304]"
"[0.06921076181953367, 0.19870837482164727]","[0.06365432694402083, 0.07500178756219165]","[1.0872907647016565, 2.649381851824236]","[0.27690832876759913, 0.008063916216624376]"
"[0.05522362199910964, 0.2998741755842846]","[0.0669568496652153, 0.07650936624104035]","[0.8247643411425138, 3.9194439885901087]","[0.40950539503523326, 8.875348389984559e-5]"
"[0.05149011299641975, 0.2766212949669164]","[0.061433337183314375, 0.06838819996214236]","[0.8381461167049337, 4.044868780287324]","[0.4019486451081812, 5.2352438846089265e-5]"
"[-0.03497399092333612, 0.21581264941934702]","[0.08110913110500031, 0.08246636298404089]","[-0.4311967154235733, 2.6169778999603954]","[0.666325341989818, 0.008871208474101265]"
"[-0.05910498891042011, 0.3947150518071834]","[0.07181602928519885, 0.07767691936380335]","[-0.8230055253500563, 5.081497245771524]","[0.4105048513348234, 3.744714438714585e-7]"
"[0.004263501567934764, 0.2987859022217134]","[0.08805827410737696, 0.08679104593938712]","[0.048416819556739356, 3.442589025028903]","[0.9613840549567644, 0.0005761741873514708]"
"[0.013719761816246928, 0.34867318423690646]","[0.06408675830828815, 0.07299422378589362]","[0.2140810703866198, 4.776722953581003]","[0.830483837242502, 1.7817498412512356e-6]"
"[0.0032897593648127774, 0.2847037537839009]","[0.05900597042186766, 0.07196647807942567]","[0.05575299145649828, 3.9560606741056317]","[0.9555385840389639, 7.619581637599436e-5]"
"[0.10063460189234685, 0.17077281380684756]","[0.06936158001776949, 0.07842583506901488]","[1.4508695140244159, 2.177507114289152]","[0.1468161983745224, 0.029442751581504775]"
"[-0.05505738593471565, 0.2638000224666155]","[0.07093920057357105, 0.08248315914605958]","[-0.776120755372985, 3.198228889360112]","[0.4376776898408109, 0.001382744815788582]"
"[0.022729642694256803, 0.29293296626089255]","[0.07037297035039734, 0.0738895605225205]","[0.3229882521809521, 3.964470274141239]","[0.7467041390596172, 7.35591119957459e-5]"
"[0.10207434288137371, 0.15175850238648964]","[0.06357375718720558, 0.0682066863703437]","[1.6056050074371961, 2.2249798438012713]","[0.1083607245511335, 0.026082591290629707]"
"[0.05398389588147154, 0.15158845540908125]","[0.08277279450755234, 0.09053077662414825]","[0.6521937093297719, 1.674441124463373]","[0.5142762175783608, 0.09404393622702939]"
"[-0.14114350397567635, 0.434812175006793]","[0.08007437529999611, 0.09168483607767393]","[-1.7626550746963268, 4.742465533105464]","[0.07795868214086568, 2.1113275867227456e-6]"
"[-0.07710963956333747, 0.24617768955281266]","[0.07922187829880677, 0.07691618621995035]","[-0.973337684225279, 3.2005966708858953]","[0.33038549903312137, 0.0013714335583104652]"
"[-0.10403755468717843, 0.3216471230349546]","[0.06803375659268124, 0.08454783972886237]","[-1.5292049108805248, 3.8043210100512224]","[0.12621365355567923, 0.00014219368521361486]"
"[0.036656391070702225, 0.2071165511597044]","[0.0684505189407489, 0.07742814086948206]","[0.5355166277472955, 2.674951882272798]","[0.5922926627677648, 0.007473997646046938]"
"[-0.005075277833895039, 0.2694013934371791]","[0.06078450335812011, 0.06787988088695619]","[-0.08349624581109687, 3.9687959070792553]","[0.9334569623791962, 7.223671651578738e-5]"
"[-0.00034125532876013603, 0.24269959298229044]","[0.0812781821688742, 0.08361804423758029]","[-0.004198609265781797, 2.902478707738233]","[0.9966500043324575, 0.0037022232605134955]"
"[-0.02464699583912229, 0.20919616418014494]","[0.07742088010731658, 0.06727357598554062]","[-0.31835075763744836, 3.1096334796459804]","[0.7502188863534887, 0.001873196260676156]"
"[0.003430912466277321, 0.1501856954331984]","[0.07300387972309519, 0.07207740227366777]","[0.04699630320047131, 2.0836724229178576]","[0.9625161738936249, 0.03718997432752129]"
"[0.14328381351665845, 0.265734289867052]","[0.07064276136938212, 0.07275726389028742]","[2.028287268775429, 3.652340339072669]","[0.042530937568401546, 0.00025986116484187074]"
"[-0.08657778897682096, 0.294882257147053]","[0.08141434313640328, 0.08516895738928111]","[-1.0634218203021886, 3.462320852411483]","[0.2875907017475042, 0.0005355383064352515]"
"[0.030702217324442366, 0.23694061107584322]","[0.07340948208491233, 0.07579571290568363]","[0.4182323107651037, 3.126042384094734]","[0.6757772742959763, 0.0017717601429298542]"
"[-0.013701763604322412, 0.24156950505268754]","[0.06279162700647381, 0.08076949013740653]","[-0.2182100426050397, 2.9908509344521685]","[0.8272654607489044, 0.0027820126128907867]"
"[-0.027796808256172156, 0.21185368149207645]","[0.07543996561911337, 0.06857584469303453]","[-0.3684626315514862, 3.089333896511159]","[0.7125283038645768, 0.002006058457805907]"
"[0.020433400341068414, 0.1894856104129823]","[0.07296077456333873, 0.09356110751204749]","[0.28006007972585, 2.0252604469072044]","[0.7794314113544007, 0.042840627680142754]"
"[0.025162441426383814, 0.12207255700078433]","[0.07777057183334632, 0.08475687983585684]","[0.32354707999709875, 1.440267235381887]","[0.7462809584554055, 0.14979180739938203]"
"[-0.03728610687712505, 0.3321227657529108]","[0.06856370487599608, 0.07129261843493856]","[-0.5438169793268973, 4.658585601761914]","[0.5865674234189363, 3.1838940652455333e-6]"
"[0.047481155213856166, 0.15265597417471957]","[0.06862499919725387, 0.07947433406020286]","[0.69189298024438, 1.9208210547455564]","[0.48900453933172106, 0.054754271132930604]"
"[-0.06566719211604932, 0.29755701842076654]","[0.07528184297913082, 0.07393052230262843]","[-0.8722845976851707, 4.0248196435396695]","[0.383053138048129, 5.7018998071625166e-5]"
"[-0.009984442826729568, 0.3641080893343538]","[0.07583406705499499, 0.0794392475604694]","[-0.1316617084441592, 4.583478576596456]","[0.8952518740188244, 4.573037566918009e-6]"
"[-0.01584893076313672, 0.19848357732771996]","[0.06345079977325066, 0.0710376529455655]","[-0.24978299437950113, 2.794061587026437]","[0.8027551714943351, 0.0052050564740731275]"
"[-0.0733611133777599, 0.35758015554113265]","[0.07010668914669005, 0.08416517003170064]","[-1.0464210230247837, 4.248552642458286]","[0.29536669068938415, 2.1515609073967256e-5]"
"[-0.06597090852766443, 0.3239885209270904]","[0.05972215023076018, 0.07141020063847962]","[-1.1046304976086712, 4.537006170411291]","[0.269319730579849, 5.705843777432902e-6]"
"[-0.04299985867494079, 0.3064779765344982]","[0.06533872243431481, 0.07190879583433159]","[-0.6581068174108954, 4.262037390260062]","[0.5104694954798248, 2.0257153851476656e-5]"
"[-0.04675563263344917, 0.29580160061681565]","[0.0662775490076104, 0.06684040608543106]","[-0.7054520472397131, 4.42549077632385]","[0.4805289638016356, 9.622326841367226e-6]"
"[0.06330930757051509, 0.23372952732944582]","[0.07532742761234362, 0.07218604704298869]","[0.8404549256125246, 3.2378768045056376]","[0.40065336409988966, 0.0012042279834904226]"
"[0.004212630516212078, 0.40387174291085914]","[0.0637325505736555, 0.0792880340365775]","[0.0660985709546263, 5.093728805591816]","[0.9472993485781817, 3.5108887903073857e-7]"
"[0.015965397520410207, 0.23791552488333848]","[0.07452811446930384, 0.0883193166043379]","[0.21421979657067444, 2.693810754324304]","[0.8303756589703926, 0.007064026071696623]"
"[-0.03514355992732198, 0.3358035931948702]","[0.06869335918968435, 0.07073997920701179]","[-0.511600543951845, 4.747012890860238]","[0.6089306047057801, 2.0644279937552157e-6]"
"[-0.011248720530187488, 0.18313194554798679]","[0.08333585589718163, 0.08546129098038782]","[-0.13498056039726727, 2.1428642540634333]","[0.892627244212353, 0.0321240000245529]"
"[0.02137636951534954, 0.23022791768879244]","[0.07345076585154041, 0.07601800691719542]","[0.2910299064621834, 3.028597131460894]","[0.7710284469368223, 0.0024569208172332993]"
